repo_name,rank,final_score,llm_preference_score,technical_execution_score,market_adoption_score,team_resilience_score,funding_gate_multiplier,reason_1,reason_2,reason_3,reason_1_factor,reason_2_factor,reason_3_factor,reason_1_value,reason_2_value,reason_3_value,stars,forks,created_at,funding_risk_level,category_potential_score,bsv_investment_score
chatterbox,1,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,12825,1629,2025-04-23T08:16:38Z,unknown,0.0,0.0
serena,2,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,12348,843,2025-03-23T22:35:24Z,unknown,0.9137931034482758,0.9137931034482758
graphiti,3,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,18103,1635,2024-08-08T22:08:30Z,unknown,0.8965517241379309,0.8965517241379308
jaaz,4,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,4501,365,2025-06-01T14:53:08Z,unknown,0.6839080459770112,0.6839080459770112
hexstrike-ai,5,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,2894,699,2025-07-10T17:53:18Z,unknown,0.6839080459770112,0.6839080459770112
PageIndex,6,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,2496,191,2025-04-01T10:53:54Z,unknown,0.7241379310344825,0.7241379310344824
pg_mooncake,7,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,1674,46,2024-09-05T04:45:58Z,unknown,0.5862068965517241,0.5862068965517242
dia,8,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,18363,1565,2025-04-19T07:15:57Z,unknown,0.7241379310344825,0.7241379310344824
stagewise,9,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,6148,367,2025-04-26T12:43:16Z,unknown,0.6839080459770112,0.6839080459770112
TokenDagger,10,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,451,10,2025-06-22T18:12:33Z,unknown,0.6844986706679748,0.6844986706679748
kernel-images,11,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,525,27,2025-02-27T15:14:18Z,unknown,0.7955156027762917,0.795515602776292
superglue,12,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,1905,99,2025-01-10T18:38:47Z,unknown,0.7701149425287354,0.7701149425287354
agent-zero,13,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,11718,2287,2024-06-10T09:10:45Z,unknown,0.6839080459770112,0.6839080459770112
dyad,14,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,14758,1496,2025-04-11T06:33:48Z,unknown,0.7241379310344825,0.7241379310344824
Graphite,15,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,21113,893,2020-04-26T07:29:29Z,unknown,0.17241379310344812,0.17241379310344804
livestore,16,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,2970,88,2023-09-21T14:34:08Z,unknown,0.8275862068965516,0.8275862068965516
SuperClaude_Framework,17,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,15498,1376,2025-06-22T12:03:53Z,unknown,0.41379310344827563,0.4137931034482758
MiniMax-01,18,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,3142,289,2025-01-14T15:43:28Z,unknown,0.0,0.0
ragas,19,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,10712,1071,2023-05-08T17:48:04Z,unknown,0.0,0.0
hyperdx,20,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,8849,307,2023-09-13T00:46:19Z,unknown,0.8275862068965516,0.8275862068965516
paradedb,21,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,7751,274,2023-06-30T20:21:47Z,unknown,0.8563218390804597,0.8563218390804597
openllmetry,22,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,6395,798,2023-09-02T14:42:59Z,unknown,0.7241379310344825,0.7241379310344824
spicedb,23,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,6021,342,2021-08-16T15:32:09Z,unknown,1.0,1.0
arroyo,24,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,4521,304,2023-03-31T17:41:56Z,unknown,1.0,1.0
sqlcoder,25,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,3884,262,2023-08-17T21:19:32Z,unknown,0.0,0.0
vocode-core,26,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,3444,623,2023-02-24T18:44:46Z,unknown,0.0,0.0
OpenPipe,27,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,2731,160,2023-06-20T00:55:24Z,unknown,0.8275862068965516,0.8275862068965516
langfuse,28,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,16104,1503,2023-05-18T17:47:09Z,unknown,0.7701149425287354,0.7701149425287354
Daft,29,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,4395,298,2022-04-25T22:02:29Z,unknown,1.0,1.0
bytebot,30,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,6980,768,2025-02-03T18:18:50Z,unknown,0.8275862068965516,0.8275862068965516
listmonk,31,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,17809,1746,2019-06-26T05:08:39Z,unknown,0.5804597701149424,0.5804597701149424
rowy,32,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,6730,540,2019-09-05T08:07:18Z,unknown,0.6839080459770112,0.6839080459770112
teable,33,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,19497,1022,2022-11-01T07:02:49Z,unknown,0.6839080459770112,0.6839080459770112
jitsu,34,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,4400,315,2020-08-04T14:57:55Z,unknown,1.0,1.0
LocalAI,35,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,35252,2763,2023-03-18T22:58:02Z,unknown,1.0,1.0
qdrant,36,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,25959,1812,2020-05-30T21:37:01Z,unknown,0.8275862068965516,0.8275862068965516
typesense,37,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,24324,807,2017-01-18T08:01:47Z,unknown,0.6839080459770112,0.6839080459770112
zincsearch,38,0.525,0.5,0.6666666666666666,0.5,0.5,1.0,Strong code quality performance,,,technical_execution_code_quality,,,1.0,,,17542,759,2021-12-02T12:49:41Z,unknown,0.3735632183908043,0.37356321839080453
sim,39,0.475,0.5,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,14934,1863,2025-01-05T22:47:49Z,unknown,0.8110344827586206,0.8110344827586207
rowboat,40,0.475,0.5,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,3467,317,2025-01-13T09:30:40Z,unknown,0.7075862068965515,0.7075862068965516
twenty,41,0.475,0.5,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,35431,4137,2022-12-01T13:04:40Z,unknown,0.4604597701149424,0.46045977011494243
