repository,llm_preference_score,innovation_reasoning,innovation_category,llm_rank
OpenBB-finance/OpenBB,0.6023340595608668,High innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,high_innovation,1
appsmithorg/appsmith,0.5235146066223684,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,2
makeplane/plane,0.5115836222010517,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,3
milvus-io/milvus,0.5044211495039088,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,4
novuhq/novu,0.49734042324317196,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,5
twentyhq/twenty,0.48814138175323074,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,6
mudler/LocalAI,0.47741105282600127,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,7
pathwaycom/pathway,0.47264692473031505,Moderate innovation potential; Strong community adoption; Healthy contributor base; Regular release cycle,moderate_innovation,8
paperless-ngx/paperless-ngx,0.47031586142682236,Moderate innovation potential; Strong community adoption; Healthy contributor base; Regular release cycle,moderate_innovation,9
grafana/loki,0.4616621949014147,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,10
ToolJet/ToolJet,0.45464203013811016,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,11
CopilotKit/CopilotKit,0.4394200886861717,Moderate innovation potential; Strong community adoption; Active contributor ecosystem; Regular release cycle,moderate_innovation,12
qdrant/qdrant,0.4248880889421521,Moderate innovation potential; Strong community adoption; Healthy contributor base; Regular release cycle,moderate_innovation,13
chroma-core/chroma,0.4236743992753919,Moderate innovation potential; Strong community adoption; Healthy contributor base; Regular release cycle,moderate_innovation,14
onlook-dev/onlook,0.40903360682509,Moderate innovation potential; Strong community adoption; Healthy contributor base; Regular release cycle,moderate_innovation,15
Avaiga/taipy,0.40318019265445043,Moderate innovation potential; Growing community; Healthy contributor base; Regular release cycle,moderate_innovation,16
Infisical/infisical,0.3836116057773076,Standard development project; Strong community adoption; Healthy contributor base; Regular release cycle,incremental,17
teableio/teable,0.3774631929345631,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,18
knadh/listmonk,0.37538773925056396,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,19
zincsearch/zincsearch,0.3635208128009278,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,20
weaviate/weaviate,0.3608680335694258,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,21
getzep/graphiti,0.3603119535034955,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,22
dyad-sh/dyad,0.35485306565885544,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,23
VictoriaMetrics/VictoriaMetrics,0.35287982561763204,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,24
formbricks/formbricks,0.3503605922072304,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,25
langfuse/langfuse,0.34875202423696205,Standard development project; Growing community; Healthy contributor base; Regular release cycle,incremental,26
