repository,owner,repo_name,github_url,dataset_index,stars,forks,issues,pull_requests,description,website,watchers,contributors_count,releases_count,fork_ratio,issue_ratio,pr_ratio,engagement_score,created_at,pushed_at,updated_at,language,has_issues,has_projects,has_wiki,has_pages,private,fork,archived,disabled,size,open_issues_count,default_branch,license,topics,visibility,homepage,popularity_tier,activity_level,maturity_level,community_health,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
resemble-ai/chatterbox,resemble-ai,chatterbox,https://github.com/resemble-ai/chatterbox,1,12662,1606,251,110,SoTA open-source TTS,https://resemble-ai.github.io/chatterbox_demopage/,1266,481,12,0.12683620281156216,0.019823092718369927,0.00868741115147686,0.0029997629157826364,2019-07-18T00:00:00Z,2024-09-19T14:36:24Z,2024-10-18T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1266,75,main,Apache-2.0,[],public,https://resemble-ai.github.io/chatterbox_demopage/,popular,low,developing,0.24403727689148633,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
simstudioai/sim,simstudioai,sim,https://github.com/simstudioai/sim,2,14774,1835,1304,1077,Open-source platform to build and deploy AI agent workflows.,https://www.sim.ai,1477,550,14,0.12420468390415595,0.08826316501962908,0.07289833491268445,0.06915147866757758,2019-03-17T00:00:00Z,2025-07-04T14:36:24Z,2025-08-06T14:36:24Z,Rust,True,True,True,True,False,False,False,False,1477,391,main,BSD-3-Clause,['ai'],public,https://www.sim.ai,popular,moderate,developing,0.37089481521591977,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
oraios/serena,oraios,serena,https://github.com/oraios/serena,3,12124,832,545,245,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),,1212,249,12,0.06862421643022105,0.04495216100296932,0.02020785219399538,0.021276504104432086,2020-08-28T00:00:00Z,2025-03-03T14:36:24Z,2024-12-19T14:36:24Z,Rust,True,True,True,False,False,False,False,False,1212,163,main,BSD-3-Clause,['framework'],public,,popular,low,developing,0.262042230287034,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.7500000000000001,1.0,0.0,0,0.706896551724138,0.7068965517241377,0.7068965517241379
getzep/graphiti,getzep,graphiti,https://github.com/getzep/graphiti,4,18019,1618,835,641,Build Real-Time Knowledge Graphs for AI Agents,https://help.getzep.com/graphiti,1801,485,18,0.08979410622121095,0.04633997447139131,0.03557356124091237,0.02963131705098624,2020-01-07T00:00:00Z,2025-04-17T14:36:24Z,2025-03-16T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1801,250,main,Apache-2.0,['ai'],public,https://help.getzep.com/graphiti,popular,moderate,developing,0.34202785948165826,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,1.0,0,0.8965517241379313,0.8965517241379309,0.8965517241379308
11cafe/jaaz,11cafe,jaaz,https://github.com/11cafe/jaaz,5,4313,354,220,226,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,https://jaaz.app,431,106,4,0.08207744029677719,0.051008578715511246,0.052399721771388824,0.04035053976116627,2018-07-22T00:00:00Z,2025-07-13T14:36:24Z,2025-05-07T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,431,66,main,BSD-3-Clause,[],public,https://jaaz.app,established,low,growing,0.3394389056341294,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
rowboatlabs/rowboat,rowboatlabs,rowboat,https://github.com/rowboatlabs/rowboat,6,3466,317,200,195,AI-powered multi-agent builder,https://www.rowboatlabs.com,346,95,3,0.0914598961338719,0.05770340450086555,0.05626081938834391,0.04561467244870718,2019-01-13T00:00:00Z,2025-04-16T14:36:24Z,2025-04-05T14:36:24Z,Go,True,True,True,True,False,False,False,False,346,60,main,MIT,['ai'],public,https://www.rowboatlabs.com,established,low,growing,0.37680323139065197,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
0x4m4/hexstrike-ai,0x4m4,hexstrike-ai,https://github.com/0x4m4/hexstrike-ai,7,2791,675,55,8,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",https://www.hexstrike.com/,279,202,2,0.2418487997133644,0.019706198495163023,0.002866356144750985,3.8567438425448187e-05,2018-06-27T00:00:00Z,2025-07-04T14:36:24Z,2024-09-27T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,279,16,main,BSD-3-Clause,['ai'],public,https://www.hexstrike.com/,established,minimal,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
VectifyAI/PageIndex,VectifyAI,PageIndex,https://github.com/VectifyAI/PageIndex,8,2464,190,17,17,📄🧠 PageIndex: Document Index for Reasoning-based RAG,https://pageindex.ai,246,57,2,0.07711038961038962,0.006899350649350649,0.006899350649350649,0.0,2020-09-14T00:00:00Z,2025-07-01T14:36:24Z,2025-01-25T14:36:24Z,Python,True,True,True,True,False,False,False,False,246,5,main,MIT,[],public,https://pageindex.ai,established,minimal,growing,0.24375,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mooncake-Labs/pg_mooncake,Mooncake-Labs,pg_mooncake,https://github.com/Mooncake-Labs/pg_mooncake,9,1665,46,135,68,Real-time analytics on Postgres tables,https://mooncake.dev/,166,13,1,0.02762762762762763,0.08108108108108109,0.04084084084084084,0.04958309631226202,2019-02-21T00:00:00Z,2025-06-10T14:36:24Z,2025-06-03T14:36:24Z,Go,True,True,True,True,False,False,False,False,166,40,main,MIT,['database'],public,https://mooncake.dev/,established,low,growing,0.18858858858858857,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
nari-labs/dia,nari-labs,dia,https://github.com/nari-labs/dia,10,18336,1559,235,93,A TTS model capable of generating ultra-realistic dialogue in one pass.,https://narilabs.org/,1833,467,18,0.0850239965095986,0.012816317626527051,0.005071989528795812,0.0,2016-01-27T00:00:00Z,2024-12-13T14:36:24Z,2025-02-04T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1833,70,main,MIT,[],public,https://narilabs.org/,popular,low,developing,0.27039703315881325,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
