repository,owner,repo_name,github_url,description,stars,issues,pull_requests,forks,website,dataset_index
resemble-ai/chatterbox,resemble-ai,chatterbox,https://github.com/resemble-ai/chatterbox,SoTA open-source TTS,12662,251,110,1606,https://resemble-ai.github.io/chatterbox_demopage/,1
simstudioai/sim,simstudioai,sim,https://github.com/simstudioai/sim,Open-source platform to build and deploy AI agent workflows.,14774,1304,1077,1835,https://www.sim.ai,2
oraios/serena,oraios,serena,https://github.com/oraios/serena,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),12124,545,245,832,,3
getzep/graphiti,getzep,graphiti,https://github.com/getzep/graphiti,Build Real-Time Knowledge Graphs for AI Agents,18019,835,641,1618,https://help.getzep.com/graphiti,4
11cafe/jaaz,11cafe,jaaz,https://github.com/11cafe/jaaz,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,4313,220,226,354,https://jaaz.app,5
rowboatlabs/rowboat,rowboatlabs,rowboat,https://github.com/rowboatlabs/rowboat,AI-powered multi-agent builder,3466,200,195,317,https://www.rowboatlabs.com,6
0x4m4/hexstrike-ai,0x4m4,hexstrike-ai,https://github.com/0x4m4/hexstrike-ai,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",2791,55,8,675,https://www.hexstrike.com/,7
VectifyAI/PageIndex,VectifyAI,PageIndex,https://github.com/VectifyAI/PageIndex,📄🧠 PageIndex: Document Index for Reasoning-based RAG,2464,17,17,190,https://pageindex.ai,8
Mooncake-Labs/pg_mooncake,Mooncake-Labs,pg_mooncake,https://github.com/Mooncake-Labs/pg_mooncake,Real-time analytics on Postgres tables,1665,135,68,46,https://mooncake.dev/,9
nari-labs/dia,nari-labs,dia,https://github.com/nari-labs/dia,A TTS model capable of generating ultra-realistic dialogue in one pass.,18336,235,93,1559,https://narilabs.org/,10
twentyhq/twenty,twentyhq,twenty,https://github.com/twentyhq/twenty,"Building a modern alternative to Salesforce, powered by the community.",35390,9821,8397,4130,https://twenty.com,11
boundaryml/baml,boundaryml,baml,https://github.com/boundaryml/baml,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),5778,2404,1812,270,https://docs.boundaryml.com,12
stagewise-io/stagewise,stagewise-io,stagewise,https://github.com/stagewise-io/stagewise,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,6138,605,552,366,https://stagewise.io,13
M4THYOU/TokenDagger,M4THYOU,TokenDagger,https://github.com/M4THYOU/TokenDagger,High-Performance Implementation of OpenAI's TikToken.,451,4,0,10,,14
CopilotKit/CopilotKit,CopilotKit,CopilotKit,https://github.com/CopilotKit/CopilotKit,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",22858,2403,1818,3081,https://docs.copilotkit.ai,15
onkernel/kernel-images,onkernel,kernel-images,https://github.com/onkernel/kernel-images,Browsers-as-a-service for automations and web agents,523,9,59,27,https://www.onkernel.com,16
superglue-ai/superglue,superglue-ai,superglue,https://github.com/superglue-ai/superglue,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",1904,203,250,99,https://superglue.ai,17
Operative-Sh/web-eval-agent,Operative-Sh,web-eval-agent,https://github.com/Operative-Sh/web-eval-agent,An MCP server that autonomously evaluates web applications. ,1181,11,24,97,https://www.operative.sh/mcp,18
yichuan-w/LEANN,yichuan-w,LEANN,https://github.com/yichuan-w/LEANN,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",2516,40,52,232,,19
sirius-db/sirius,sirius-db,sirius,https://github.com/sirius-db/sirius,,436,45,33,11,https://www.sirius-db.com,20
