repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
resemble-ai/chatterbox,resemble-ai,chatterbox,12662,1606,SoTA open-source TTS,1,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
simstudioai/sim,simstudioai,sim,14774,1835,Open-source platform to build and deploy AI agent workflows.,2,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
oraios/serena,oraios,serena,12124,832,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),3,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,1.0,0.0,0,0.0862068965517242,0.08620689655172423,0.08620689655172423
getzep/graphiti,getzep,graphiti,18019,1618,Build Real-Time Knowledge Graphs for AI Agents,4,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,1.0,0,0.8965517241379309,0.8965517241379309,0.8965517241379313
11cafe/jaaz,11cafe,jaaz,4313,354,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,5,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
rowboatlabs/rowboat,rowboatlabs,rowboat,3466,317,AI-powered multi-agent builder,6,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
0x4m4/hexstrike-ai,0x4m4,hexstrike-ai,2791,675,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",7,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
VectifyAI/PageIndex,VectifyAI,PageIndex,2464,190,📄🧠 PageIndex: Document Index for Reasoning-based RAG,8,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mooncake-Labs/pg_mooncake,Mooncake-Labs,pg_mooncake,1665,46,Real-time analytics on Postgres tables,9,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,1.0,0,0.586206896551724,0.5862068965517241,0.5862068965517242
nari-labs/dia,nari-labs,dia,18336,1559,A TTS model capable of generating ultra-realistic dialogue in one pass.,10,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
twentyhq/twenty,twentyhq,twenty,35390,4130,"Building a modern alternative to Salesforce, powered by the community.",11,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
boundaryml/baml,boundaryml,baml,5778,270,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),12,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
stagewise-io/stagewise,stagewise-io,stagewise,6138,366,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,13,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.7500000000000001,0.0,0.0,0,0.6206896551724137,0.6206896551724137,0.620689655172414
M4THYOU/TokenDagger,M4THYOU,TokenDagger,451,10,High-Performance Implementation of OpenAI's TikToken.,14,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.6844986706679751,0.6844986706679752
CopilotKit/CopilotKit,CopilotKit,CopilotKit,22858,3081,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",15,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
onkernel/kernel-images,onkernel,kernel-images,523,27,Browsers-as-a-service for automations and web agents,16,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344825,0.6918771594234168,0.691877159423417
