repository,llm_preference_score,innovation_reasoning,llm_rank
OpenBB-finance/OpenBB,0.6198594544487201,Moderate innovation potential; Strong community adoption; Active contributor ecosystem,1
novuhq/novu,0.5270765801926203,Moderate innovation potential; Strong community adoption; Active contributor ecosystem,2
ToolJet/ToolJet,0.520085576573189,Moderate innovation potential; Strong community adoption; Active contributor ecosystem,3
milvus-io/milvus,0.5145718116493565,Moderate innovation potential; Strong community adoption; Active contributor ecosystem,4
appsmithorg/appsmith,0.5125138205872627,Moderate innovation potential; Strong community adoption; Active contributor ecosystem,5
twentyhq/twenty,0.5005745827838399,Moderate innovation potential; Strong community adoption; Active contributor ecosystem,6
go-skynet/LocalAI,0.46223524709609737,Standard development project; Strong community adoption; Active contributor ecosystem,7
makeplane/plane,0.4468092175529108,Standard development project; Strong community adoption; Active contributor ecosystem,8
grafana/loki,0.4250562027972568,Standard development project; Strong community adoption; Active contributor ecosystem,9
pathwaycom/pathway,0.4233393721931562,Standard development project; Strong community adoption; Active contributor ecosystem,10
CopilotKit/CopilotKit,0.39740164120930693,Standard development project; Strong community adoption; Active contributor ecosystem,11
paperless-ngx/paperless-ngx,0.3906121055554211,Standard development project; Strong community adoption; Active contributor ecosystem,12
Avaiga/taipy,0.35218433135910443,Standard development project; Strong community adoption; Active contributor ecosystem,13
qdrant/qdrant,0.3479511706974361,Standard development project; Strong community adoption; Active contributor ecosystem,14
Infisical/infisical,0.341159615518941,Standard development project; Strong community adoption; Active contributor ecosystem,15
chroma-core/chroma,0.3359551858661665,Standard development project; Strong community adoption; Active contributor ecosystem,16
kestra-io/kestra,0.323156803465036,Standard development project; Strong community adoption; Active contributor ecosystem,17
knadh/listmonk,0.32000508143687223,Standard development project; Strong community adoption; Active contributor ecosystem,18
onlook-dev/onlook,0.3143717587966612,Standard development project; Strong community adoption; Active contributor ecosystem,19
getzep/graphiti,0.31415435260587077,Standard development project; Strong community adoption; Active contributor ecosystem,20
SuperClaude-Org/SuperClaude_Framework,0.31309535311522896,Standard development project; Strong community adoption; Active contributor ecosystem,21
VictoriaMetrics/VictoriaMetrics,0.31212162118058995,Standard development project; Strong community adoption; Active contributor ecosystem,22
typesense/typesense,0.3110417313190785,Standard development project; Strong community adoption,23
simstudioai/sim,0.29806605329006947,Standard development project; Strong community adoption; Active contributor ecosystem,24
teableio/teable,0.29668503936023133,Standard development project; Strong community adoption; Active contributor ecosystem,25
thanos-io/thanos,0.2940438050034686,Standard development project; Strong community adoption; Active contributor ecosystem,26
windmill-labs/windmill,0.29368771323566284,Standard development project; Strong community adoption,27
nari-labs/dia,0.2925454944499885,Standard development project; Strong community adoption; Active contributor ecosystem,28
GraphiteEditor/Graphite,0.28217053847564616,Standard development project; Strong community adoption,29
documenso/documenso,0.2820724893813993,Standard development project; Strong community adoption; Active contributor ecosystem,30
questdb/questdb,0.2805492783818638,Standard development project; Strong community adoption; Active contributor ecosystem,31
dyad-sh/dyad,0.2800158350566521,Standard development project; Strong community adoption; Active contributor ecosystem,32
weaviate/weaviate,0.2783430398903258,Standard development project; Strong community adoption; Active contributor ecosystem,33
langfuse/langfuse,0.273117415018095,Standard development project; Strong community adoption; Active contributor ecosystem,34
formbricks/formbricks,0.27276627345873716,Standard development project; Strong community adoption; Active contributor ecosystem,35
agent0ai/agent-zero,0.27033274116339834,Standard development project; Strong community adoption; Active contributor ecosystem,36
zincsearch/zincsearch,0.27019879473717245,Standard development project; Strong community adoption,37
openobserve/openobserve,0.2579098956646458,Standard development project; Strong community adoption,38
Skyvern-AI/skyvern,0.25772930525903726,Standard development project; Strong community adoption; Active contributor ecosystem,39
resemble-ai/chatterbox,0.2540691696435391,Standard development project; Strong community adoption; Active contributor ecosystem,40
triggerdotdev/trigger.dev,0.24643165917937485,Standard development project; Strong community adoption,41
emcie-co/parlant,0.23847445431421208,Standard development project; Strong community adoption,42
Unleash/unleash,0.23471732235498985,Standard development project; Strong community adoption,43
supertokens/supertokens-core,0.22896298664376852,Standard development project; Strong community adoption,44
oraios/serena,0.22861491345198792,Standard development project; Strong community adoption,45
superagent-ai/superagent,0.22632462718609267,Standard development project,46
growthbook/growthbook,0.22202189477285897,Standard development project,47
quickwit-oss/quickwit,0.22131762977786248,Standard development project; Strong community adoption,48
agentscope-ai/agentscope,0.21724099833758925,Standard development project; Strong community adoption,49
traceloop/openllmetry,0.21702728992382214,Standard development project,50
keephq/keep,0.21675873449001912,Standard development project; Strong community adoption; Active contributor ecosystem,51
explodinggradients/ragas,0.21657810240918002,Standard development project; Strong community adoption; Active contributor ecosystem,52
logto-io/logto,0.2147633663034931,Standard development project; Strong community adoption,53
activeloopai/deeplake,0.21004010737163425,Standard development project,54
fonoster/fonoster,0.20914244049856848,Standard development project,55
paradedb/paradedb,0.20654829650068052,Standard development project,56
evidentlyai/evidently,0.20618077495333018,Standard development project,57
shuttle-hq/shuttle,0.2013219747675879,Standard development project,58
skypilot-org/skypilot,0.19712924475478175,Standard development project,59
getlago/lago,0.19376024719912494,Standard development project,60
vocodedev/vocode-core,0.19049121909398117,Standard development project,61
ArroyoSystems/arroyo,0.1895082774772875,Standard development project,62
highlight/highlight,0.1894823161864115,Standard development project,63
rowyio/rowy,0.18935218877055465,Standard development project,64
11cafe/jaaz,0.18894240767257342,Standard development project,65
boundaryml/baml,0.18888581333974414,Standard development project,66
erxes/erxes,0.18868205859729817,Standard development project; Active contributor ecosystem,67
bytebot-ai/bytebot,0.18325776266376062,Standard development project,68
cortexproject/cortex,0.18322353502851926,Standard development project,69
requestly/requestly,0.18138809053448093,Standard development project,70
hyperdxio/hyperdx,0.17980868894768523,Standard development project,71
stagewise-io/stagewise,0.17957863055695097,Standard development project,72
hatchet-dev/hatchet,0.17866758638870556,Standard development project,73
m3db/m3,0.1762029862912313,Standard development project,74
lightdash/lightdash,0.176140780425471,Standard development project,75
authzed/spicedb,0.17101556881330623,Standard development project,76
rowboatlabs/rowboat,0.17039186157939057,Standard development project,77
jitsucom/jitsu,0.16876767771762857,Standard development project,78
firezone/firezone,0.1677711494886678,Standard development project,79
NangoHQ/nango,0.16714315755865325,Standard development project,80
MiniMax-AI/MiniMax-01,0.16590800370801032,Standard development project,81
