repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki
resemble-ai/chatterbox,resemble-ai,chatterbox,12662,1606,SoTA open-source TTS,1,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
simstudioai/sim,simstudioai,sim,14774,1835,Open-source platform to build and deploy AI agent workflows.,2,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
oraios/serena,oraios,serena,12124,832,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),3,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
getzep/graphiti,getzep,graphiti,18019,1618,Build Real-Time Knowledge Graphs for AI Agents,4,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
11cafe/jaaz,11cafe,jaaz,4313,354,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,5,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
rowboatlabs/rowboat,rowboatlabs,rowboat,3466,317,AI-powered multi-agent builder,6,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
0x4m4/hexstrike-ai,0x4m4,hexstrike-ai,2791,675,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",7,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
VectifyAI/PageIndex,VectifyAI,PageIndex,2464,190,📄🧠 PageIndex: Document Index for Reasoning-based RAG,8,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Mooncake-Labs/pg_mooncake,Mooncake-Labs,pg_mooncake,1665,46,Real-time analytics on Postgres tables,9,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
nari-labs/dia,nari-labs,dia,18336,1559,A TTS model capable of generating ultra-realistic dialogue in one pass.,10,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
twentyhq/twenty,twentyhq,twenty,35390,4130,"Building a modern alternative to Salesforce, powered by the community.",11,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
boundaryml/baml,boundaryml,baml,5778,270,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),12,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
stagewise-io/stagewise,stagewise-io,stagewise,6138,366,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,13,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
M4THYOU/TokenDagger,M4THYOU,TokenDagger,451,10,High-Performance Implementation of OpenAI's TikToken.,14,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
CopilotKit/CopilotKit,CopilotKit,CopilotKit,22858,3081,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",15,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
onkernel/kernel-images,onkernel,kernel-images,523,27,Browsers-as-a-service for automations and web agents,16,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
superglue-ai/superglue,superglue-ai,superglue,1904,99,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",17,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Operative-Sh/web-eval-agent,Operative-Sh,web-eval-agent,1181,97,An MCP server that autonomously evaluates web applications. ,18,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
yichuan-w/LEANN,yichuan-w,LEANN,2516,232,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",19,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
sirius-db/sirius,sirius-db,sirius,436,11,,20,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
agentscope-ai/agentscope,agentscope-ai,agentscope,11099,764,AgentScope: Agent-Oriented Programming for Building LLM Applications,21,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
agent0ai/agent-zero,agent0ai,agent-zero,11709,2287,Agent Zero AI framework,22,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
dyad-sh/dyad,dyad-sh,dyad,14680,1475,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",23,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
GraphiteEditor/Graphite,GraphiteEditor,Graphite,21086,889,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",24,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
