repo_name,rank,final_score,llm_preference_score,technical_execution_score,market_adoption_score,team_resilience_score,funding_gate_multiplier,reason_1,reason_2,reason_3,reason_1_factor,reason_2_factor,reason_3_factor,reason_1_value,reason_2_value,reason_3_value,stars,forks,created_at,funding_risk_level,category_potential_score,bsv_investment_score,innovation_score,competitive_advantage
OpenBB,1,0.47562063493106466,1.0,0.16400403847428147,0.30009509770676035,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,1.0,,,52175,4954,2017-06-14T00:00:00Z,unknown,0.54,0.38961873297692945,0.36000000000000004,0.38563965447241677
milvus,2,0.4478942409101365,0.8219579963957603,0.13362880962443327,0.48927659070817564,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.8219579963957603,,,37128,3391,2019-07-02T00:00:00Z,unknown,0.23625000000000002,0.3901562697447361,0.1575,0.41355375941219563
appsmith,3,0.44522820017621695,0.8566769865588005,0.1336274214497035,0.4238706781434769,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.8566769865588005,,,37945,4228,2015-09-22T00:00:00Z,unknown,0.23625000000000002,0.38254892903276333,0.1575,0.3943346371490323
novu,4,0.428613701956664,0.8090826085669092,0.1640023657180084,0.35143986549693956,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.8090826085669092,,,37755,4110,2015-07-17T00:00:00Z,unknown,0.54,0.37595003510468156,0.36000000000000004,0.36799341419936105
plane,5,0.4206980506261479,0.8349820295801296,0.13362731503916622,0.33376257868221276,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.8349820295801296,,,38697,2687,2015-01-21T00:00:00Z,unknown,0.23625000000000002,0.3637260337280804,0.1575,0.35395236340457753
loki,6,0.41988302792812154,0.7442063501110957,0.13362808882592828,0.46584943682210767,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.7442063501110957,,,26413,3782,2020-04-14T00:00:00Z,unknown,0.23625000000000002,0.3766088961716822,0.1575,0.38863228028143354
twenty,7,0.41570746707192946,0.7923553375956459,0.13362802484563657,0.3727482792749053,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.7923553375956459,,,35390,4130,2018-04-05T00:00:00Z,unknown,0.23625000000000002,0.3656285407192151,0.1575,0.36102158916734595
pathway,8,0.41390561596416925,0.7641806651084845,0.21162854107905987,0.25,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.7641806651084845,,,42443,1292,2018-01-23T00:00:00Z,unknown,1.0,0.37135309624464213,0.6775,0.3374875494533209
ToolJet,9,0.4094159785498301,0.7314410855574884,0.16400264619203359,0.3719129720288506,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.7314410855574884,,,36445,4742,2016-12-08T00:00:00Z,unknown,0.54,0.3703183237089051,0.36000000000000004,0.3606544643998514
highlight,10,0.40604554333041654,0.46403145305483373,0.17112595933055672,0.7419286184087187,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.7419286184087187,0.7419286184087187,,8656,456,2020-03-04T00:00:00Z,unknown,0.38989599999999996,0.4076813094123721,0.4075,0.4580281217066769
erxes,11,0.4009083262131221,0.4510274016765608,0.16400026427538464,0.75,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.75,0.75,,3681,1166,2017-09-29T00:00:00Z,unknown,0.216468,0.4047233939113411,0.36000000000000004,0.45580558604546606
Daft,12,0.4001664398376184,0.4395657671154441,0.17112549587694426,0.7492325567610376,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.7492325567610376,0.7492325567610376,,4337,296,2020-08-11T00:00:00Z,unknown,0.20085675,0.40605995062161776,0.4075,0.45605637447828157
cortex,13,0.39924428566412784,0.4454801845970535,0.16400057571252943,0.75,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.75,0.75,,5671,831,2019-10-29T00:00:00Z,unknown,0.263988,0.4040578524366582,0.36000000000000004,0.4546962672044225
paperless-ngx,14,0.3936838522695752,0.7599419270213341,0.13362775911078045,0.3112508525943142,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.7599419270213341,,,31942,1952,2018-05-07T00:00:00Z,unknown,0.23625000000000002,0.35066928835384886,0.1575,0.3299398300863047
qdrant,15,0.3910583972585126,0.6773373794928903,0.16400199710533614,0.3612819228425552,0.5,1.0,,,,,,,,,,25875,1809,2017-06-30T00:00:00Z,unknown,0.54,0.36191203049294124,0.36000000000000004,0.34558104387773464
chroma,16,0.3871161764192747,0.6751304413077415,0.164001672725402,0.34488187468395753,0.5,1.0,,,,,,,,,,23247,1822,2016-11-30T00:00:00Z,unknown,0.54,0.35869505949020214,0.36000000000000004,0.3385795072252922
CopilotKit,17,0.38481717490533246,0.7037619475023229,0.1640037630896861,0.29043542709380576,0.5,1.0,High LLM preference score indicates strong innovation potential,,,llm_preference,,,0.7037619475023229,,,22858,3081,2021-11-12T00:00:00Z,unknown,0.54,0.35233131581303817,0.36000000000000004,0.3225280655738613
unleash,18,0.3831205467829853,0.5123407082999027,0.13362617319258224,0.6298393250799079,0.5,1.0,,,,,,,,,,12608,792,2019-01-05T00:00:00Z,unknown,0.223524,0.37830243278740466,0.1575,0.40785434096897666
m3,19,0.37857397474470367,0.42917106348644257,0.1711255720224107,0.6568621344490333,0.5,1.0,,,,,,,,,,4847,464,2020-09-18T00:00:00Z,unknown,0.23533125,0.3881859406281634,0.4075,0.41702929528586613
helicone,20,0.3746494037121437,0.3648330134818155,0.17412534374012972,0.7277468108577358,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.7277468108577358,0.7277468108577358,,4488,433,2018-01-27T00:00:00Z,unknown,0.2288835,0.3944245250682622,0.4275,0.43371546453550935
weaviate,21,0.374159638081362,0.5609251625259557,0.13362607858653172,0.512158289444813,0.5,1.0,,,,,,,,,,14550,1076,2017-04-07T00:00:00Z,unknown,0.23625000000000002,0.3629499430377937,0.1575,0.37049877971772904
lightdash,22,0.37321792565049056,0.39922575430757673,0.1336254983955438,0.75,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.75,0.75,,5090,611,2019-08-31T00:00:00Z,unknown,0.099414,0.3863572898751267,0.1575,0.4332953502197329
thanos,23,0.3707073155975842,0.5294765823751222,0.1640014940967635,0.4813187162317108,0.5,1.0,,,,,,,,,,13695,2203,2019-12-25T00:00:00Z,unknown,0.54,0.36577515644542796,0.36000000000000004,0.3640234006064142
onlook,24,0.3692418762709867,0.6485080477879368,0.16400162780566835,0.29544405406169166,0.5,1.0,,,,,,,,,,22447,1554,2016-12-27T00:00:00Z,unknown,0.54,0.34660154658792425,0.36000000000000004,0.3134798823045314
logto,25,0.367275615811564,0.4505398183130967,0.16400136645234495,0.5825656186834849,0.5,1.0,,,,,,,,,,10748,615,2020-11-01T00:00:00Z,unknown,0.43120800000000004,0.3745271361415368,0.36000000000000004,0.3887347577169513
langfuse,26,0.3672110311372683,0.5388937616005347,0.17412627604596453,0.42946196119361035,0.5,1.0,,,,,,,,,,16053,1497,2017-10-24T00:00:00Z,unknown,0.64125,0.36162091482529984,0.4275,0.34921404721593696
taipy,27,0.3666545760771461,0.6378643687648142,0.1640028720444952,0.29847058314951885,0.5,1.0,,,,,,,,,,18618,1926,2021-08-16T00:00:00Z,unknown,0.54,0.34586957803648916,0.36000000000000004,0.3125622558305685
VictoriaMetrics,28,0.3631297847721707,0.5463996362381828,0.13362748574673208,0.4787944980101152,0.5,1.0,,,,,,,,,,14986,1456,2021-12-06T00:00:00Z,unknown,0.23625000000000002,0.3552019602890955,0.1575,0.3542487207503755
fern,29,0.361993730462083,0.36181209831686545,0.13362525241755843,0.75,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.75,0.75,,3308,244,2018-04-28T00:00:00Z,unknown,0.059787,0.3818675527650472,0.1575,0.42581252063039654
formbricks,30,0.3606307486449806,0.5418187350712813,0.1336261102395763,0.47317342013882857,0.5,1.0,,,,,,,,,,11241,1990,2019-06-05T00:00:00Z,unknown,0.23625000000000002,0.3536399079293734,0.1575,0.35108355916561823
requestly,31,0.3587151533807939,0.4267376714510515,0.13362526390776383,0.6362187319118646,0.5,1.0,,,,,,,,,,3976,335,2017-01-05T00:00:00Z,unknown,0.0731745,0.36917799788136735,0.1575,0.3932851326180617
growthbook,32,0.35487216552961265,0.4848804480604292,0.13362587674791399,0.5297884020615916,0.5,1.0,,,,,,,,,,6847,596,2020-12-24T00:00:00Z,unknown,0.12661424999999998,0.3569979168375036,0.1575,0.3623418011358881
deeplake,33,0.3542266401099513,0.4641473961425447,0.21162581062934704,0.4016604850772455,0.5,1.0,,,,,,,,,,8812,677,2019-01-13T00:00:00Z,unknown,0.6887464999999999,0.36264689910274833,0.6775,0.338143997511146
openobserve,34,0.3541154611836141,0.535006121041679,0.13362631716925666,0.4508154900170387,0.5,1.0,,,,,,,,,,16557,650,2017-10-24T00:00:00Z,unknown,0.23625000000000002,0.3487980495957711,0.1575,0.3407779470828539
nango,35,0.35231809448980184,0.42800373088331634,0.13362544601085563,0.6023339841023234,0.5,1.0,,,,,,,,,,5848,543,2017-11-10T00:00:00Z,unknown,0.1092105,0.3632307432487584,0.1575,0.3799845182219349
graphiti,36,0.3515381296633299,0.5599140026181865,0.20150199293193832,0.2648156585254931,0.5,1.0,,,,,,,,,,18019,1618,2020-01-07T00:00:00Z,unknown,0.9150000000000001,0.34545729602154646,0.6100000000000001,0.2985098611066099
infisical,37,0.3515331593724787,0.6022814163912876,0.13362726459833435,0.3369891430787935,0.5,1.0,,,,,,,,,,20053,1349,2020-02-14T00:00:00Z,unknown,0.23625000000000002,0.33638272156047105,0.1575,0.30870284634910866
skyvern,38,0.35109361230604186,0.5338968846922852,0.1741271010073761,0.3563685324770292,0.5,1.0,,,,,,,,,,14240,1196,2021-06-20T00:00:00Z,unknown,0.64125,0.34786480241188994,0.4275,0.3189776303322192
kestra,39,0.3505086389262013,0.4896189606503959,0.16400147708199123,0.4401117994914303,0.5,1.0,,,,,,,,,,21129,1809,2016-09-03T00:00:00Z,unknown,0.54,0.3535749900193014,0.36000000000000004,0.3395691027594478
teable,40,0.3497676739955586,0.5911013203153823,0.16400209503101593,0.28418219944268763,0.5,1.0,,,,,,,,,,19482,1021,2019-11-05T00:00:00Z,unknown,0.54,0.33768579234993606,0.36000000000000004,0.2974939818525579
listmonk,41,0.3495502042001315,0.5873273753670394,0.1640011970588543,0.2887575638323899,0.5,1.0,,,,,,,,,,17782,1740,2016-05-12T00:00:00Z,unknown,0.54,0.33805612535741664,0.36000000000000004,0.29856897942990557
keep,42,0.345549156578025,0.4766114634143221,0.16400077583630723,0.4348270360960274,0.5,1.0,,,,,,,,,,10658,1053,2017-03-15T00:00:00Z,unknown,0.459504,0.35106255244152645,0.36000000000000004,0.3348534174557983
openllmetry,43,0.3416617638865662,0.41134946356954916,0.1741256095096528,0.49303340505920157,0.5,1.0,,,,,,,,,,6389,798,2019-05-24T00:00:00Z,unknown,0.34135875,0.35775819234286327,0.4275,0.3491334985414516
paradedb,44,0.340555787600491,0.46267635968246756,0.17112562581069982,0.4165131468573541,0.5,1.0,,,,,,,,,,7730,273,2018-03-06T00:00:00Z,unknown,0.33724699999999996,0.3489437799204998,0.4075,0.3275907810037151
quickwit,45,0.3390536392824997,0.4752680474878339,0.1336257229315091,0.4651146793177293,0.5,1.0,,,,,,,,,,10402,485,2016-10-22T00:00:00Z,unknown,0.179109,0.34420309714833497,0.1575,0.3345497703972622
dyad,46,0.33524662901371877,0.5499877188549404,0.16400126160256767,0.27324904358104807,0.5,1.0,,,,,,,,,,14680,1475,2018-06-04T00:00:00Z,unknown,0.54,0.33078385874820854,0.36000000000000004,0.2848976658444344
